replicate,pos,y_bin,y_um,median_intensity,median_corrected_intensity,corrected_intensity,bg_value,concentration,fitted_concentration
replicate_4,pos19,18,27.75,253.1864406779661,91.85684466700404,44.64213688049773,208.54430379746836,11.717628496326132,12.510253774163765
replicate_4,pos19,19,29.25,251.3870967741935,90.05750076323145,42.84279297672515,208.54430379746836,11.279794505537305,10.936942076516752
replicate_4,pos19,20,30.75,238.82,77.49040398903793,30.275696202531634,208.54430379746836,8.202488457976528,9.488670009547224
replicate_4,pos19,21,32.25,237.01356707317072,75.68397106220866,28.46926327570236,208.54430379746836,7.755729159009002,8.148879800240804
replicate_4,pos19,22,33.75,229.1412294647589,67.81163345379683,20.59692566729055,208.54430379746836,5.786089530099094,6.902253924577981
replicate_4,pos19,23,35.25,215.2465277777778,53.916931766815736,6.702223980309441,208.54430379746836,2.1231936628566945,5.734539985682621
replicate_4,pos19,24,36.75,215.02969247083777,53.700096459875695,6.485388673369414,208.54430379746836,2.0621402980530195,4.632387769332598
replicate_4,pos19,25,38.25,218.33333333333337,57.00373732237131,9.789029535865012,208.54430379746836,2.973049585046641,3.5831966139244584
replicate_4,pos19,26,39.75,212.72857142857143,51.39897541760936,4.184267631103069,208.54430379746836,1.3987108532691939,2.574971349906743
replicate_4,pos19,27,41.25,211.07954545454547,49.74994944358341,2.5352416570771084,208.54430379746836,0.8982349622194502,1.5961851616695208
replicate_4,pos19,28,42.75,208.54430379746836,47.214707786506295,0.0,208.54430379746836,0.0,0.6356478040205653
replicate_4,pos19,29,44.25,210.11363636363637,48.78404035267431,1.5693325661680149,208.54430379746836,0.5882071877606861,-0.31762233340361234
replicate_4,pos19,30,45.75,217.01388888888889,55.68429287792682,8.469585091420527,208.54430379746836,2.6137335690214965,-1.2745237764510486
replicate_4,pos19,31,47.25,226.21875,64.88915398903794,17.67444620253164,208.54430379746836,5.041852742777886,-2.2459965668807937
replicate_4,pos19,32,48.75,225.3134328358209,63.98383682485883,16.76912903835253,208.54430379746836,4.809363715912018,-3.2431473374315707
replicate_4,pos19,33,50.25,237.5897435897436,76.26014757878153,29.045439792275232,208.54430379746836,7.898394965241592,-4.277376291488123
replicate_4,pos19,34,51.75,245.39732770745428,84.06773169649223,36.85302390998592,208.54430379746836,9.818357313385295,-5.360507539075577
replicate_4,pos23,0,0.75,245.7301797040169,84.40058369305486,74.84876259171745,170.88141711229946,19.065249188676823,55.21005207408332
replicate_4,pos23,1,2.25,280.2911392405063,118.96154322954423,109.40972212820685,170.88141711229946,27.65648401121694,48.84688653147193
replicate_4,pos23,2,3.75,297.6456730769231,136.31607706596105,126.76425596462366,170.88141711229946,32.10650063522371,43.214090932963046
replicate_4,pos23,3,5.25,314.48275862068965,153.1531626097276,143.6013415083902,170.88141711229946,36.53487196931725,38.227442416086745
replicate_4,pos23,4,6.75,294.1111111111111,132.78151510014902,123.22969399881163,170.88141711229946,31.191308202079696,33.81237945897033
replicate_4,pos23,5,8.25,290.7,129.37040398903792,119.81858288770053,170.88141711229946,30.31252278702901,29.902887019219627
replicate_4,pos23,6,9.75,276.68,115.35040398903794,105.79858288770055,170.88141711229946,26.743489421933415,26.440509461738024
replicate_4,pos23,7,11.25,265.0,103.67040398903794,94.11858288770054,170.88141711229946,23.81742484767595,23.3734765165516
replicate_4,pos23,8,12.75,239.11832611832617,77.78873010736407,68.2369090060267,170.88141711229946,17.45094486961801,20.655929197759725
replicate_4,pos23,9,14.25,232.65564516129032,71.32604915032826,61.774228048990864,170.88141711229946,15.87831422070473,18.247234109372194
replicate_4,pos23,10,15.75,247.32570806100216,85.9961120500401,76.4442909487027,170.88141711229946,19.455829502147292,16.111375885375203
replicate_4,pos23,11,17.25,229.56309523809523,68.23349922713318,58.68167812579577,170.88141711229946,15.127017358269189,14.21641867964955
replicate_4,pos23,12,18.75,223.35587044534412,62.026274434382074,52.474453333044664,170.88141711229946,13.620164187171863,12.534028653813728
replicate_4,pos23,13,20.25,217.03508771929825,55.70549170833618,46.15367060699879,170.88141711229946,12.085136388264946,11.039050323119762
replicate_4,pos23,14,21.75,208.8125,47.482903989037936,37.93108288770054,170.88141711229946,10.081949458739874,9.709130425827624
replicate_4,pos23,15,23.25,199.61111111111111,38.28151510014905,28.729693998811655,170.88141711229946,7.820234132366808,8.52438369206612
replicate_4,pos23,16,24.75,198.83333333333337,37.50373732237131,27.951916221033912,170.88141711229946,7.627487601597751,7.467095514678956
replicate_4,pos23,17,26.25,197.74358974358975,36.41399373262769,26.862172631290292,170.88141711229946,7.35689287130031,6.521457076321735
replicate_4,pos23,18,27.75,187.37704918032787,26.04745316936581,16.495632068028414,170.88141711229946,4.738925514895847,5.673328972368963
replicate_4,pos23,19,29.25,185.56521739130432,24.235621380342252,14.683800279004856,170.88141711229946,4.269684375010684,4.910029795266104
replicate_4,pos23,20,30.75,182.3947368421053,21.065140831143225,11.51331972980583,170.88141711229946,3.435551906352793,4.220146519191035
replicate_4,pos23,21,32.25,181.46296296296296,20.133366952000895,10.581545850663503,170.88141711229946,3.1865284456776304,3.593363849852485
replicate_4,pos23,22,33.75,179.58139534883722,18.251799337875156,8.69997823653776,170.88141711229946,2.6768577598490393,3.02030998782422
replicate_4,pos23,23,35.25,176.8115468409586,15.481950829996537,5.930129728659153,170.88141711229946,1.9047908092272627,2.492416499232614
replicate_4,pos23,24,36.75,175.57777777777778,14.24818176681572,4.696360665478323,170.88141711229946,1.5491922935159672,2.001790198551783
replicate_4,pos23,25,38.25,174.76,13.430403989037927,3.8785828877005315,170.88141711229946,1.3079238868183038,1.5410951278681646
replicate_4,pos23,26,39.75,173.675,12.345403989037948,2.793582887700552,170.88141711229946,0.978618874116543,1.1034428679412258
replicate_4,pos23,27,41.25,171.59334334334335,10.263747332381271,0.7119262310438899,170.88141711229946,0.2929865280482042,0.6822895409659149
replicate_4,pos23,28,42.75,170.88141711229946,9.55182110133741,0.0,170.88141711229946,0.0,0.27133796499833573
replicate_4,pos23,29,44.25,174.4189189189189,13.08932290795684,3.5375018066194457,170.88141711229946,1.2056764517368428,-0.13555650296500987
replicate_4,pos23,30,45.75,176.58823529411765,15.258639283155588,5.706818181818193,170.88141711229946,1.8410722240625181,-0.5444778431104648
replicate_4,pos23,31,47.25,177.0032114624506,15.67361545148853,6.121794350151134,170.88141711229946,1.9592748685587569,-0.9615403418859875
replicate_4,pos23,32,48.75,180.8955223880597,19.56592637709764,10.014105275760244,170.88141711229946,3.033844349634952,-1.392980014226157
replicate_4,pos23,33,50.25,187.42964899178492,26.100052980822852,16.548231879485456,170.88141711229946,4.752479984713377,-1.8452478458896593
replicate_4,pos23,34,51.75,193.16666666666663,31.837070655704565,22.28524955436717,170.88141711229946,6.21229652323829,-2.325106250090254
